Cadena,UPC,Descripcion,Formato,NumTienda,NomTienda,ID TIENDA,Tiempo,OH Piezas,IT Piezas
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,174,Chedraui Selecto Mexico Fortuna 03-17,CHE174,2025-05-29,5.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,177,Chedraui Selecto Mexico Pedregal 11-18,CHE177,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,178,Chedraui Selecto San Jose Del Cabo 11-17,CHE178,2025-05-29,5.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,186,Chedraui Selecto Qro Juriquilla 11-18,CHE186,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,196,Chedraui Selecto Aguascalientes 05-20,CHE196,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,232,Chedraui Selecto Mexico Polanco 05-05,CHE232,2025-05-29,13.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,233,Chedraui Mexico Coapa 04-05,CHE233,2025-05-29,1.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,235,Chedraui Selecto Mexico Universidad 04-05,CHE235,2025-05-29,14.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,24,Chedraui Selecto Villa Olmeca 10-94,CHE24,2025-05-29,4.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,243,Chedraui Selecto Toluca Metepec 05-05,CHE243,2025-05-29,7.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,249,Chedraui Selecto Gdl Acueducto 05-05,CHE249,2025-05-29,10.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,251,Chedraui Selecto San Luis Potosi El Dorado 05-05,CHE251,2025-05-29,4.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,253,Chedraui Selecto Merida Norte 06-05,CHE253,2025-05-29,6.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,255,Chedraui Selecto Cancun Kabah 06-05,CHE255,2025-05-29,4.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,262,Chedraui Selecto Gdl Av. Mexico 08-19,CHE262,2025-05-29,6.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,268,Chedraui Selecto Queretaro Centro Sur 10-21,CHE268,2025-05-29,15.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,47,Chedraui Selecto Cancun Americas 12-97,CHE47,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,59,Chedraui Selecto Xalapa Animas 06-00,CHE59,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,655,Chedraui Selecto Mexico Tecamachalco 11-12,CHE655,2025-05-29,3.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui Selecto,98,Chedraui Selecto Mexico Santa Fe 09-13,CHE98,2025-05-29,29.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,275,21760 Chedraui Zihuatanejo Ctral Camionera 11-24,CHE275,2025-05-29,40.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,276,19210 SUPER CHEDRAUI PROGRESO YUC 11-24,CHE276,2025-05-29,15.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,341,80104 Dark Store Zedec 10-24,CHE341,2025-05-29,13.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,342,80103 Dark Store Campestre 10-24,CHE342,2025-05-29,8.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,343,80102 Dark Store Florida 10-24,CHE343,2025-05-29,7.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,552,28658 Supercito Selecto Lomas De Tecamachalco 11-24,CHE552,2025-05-29,1.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,576,28655 Supercito Selecto Naucalpan Conscripto 09-24,CHE576,2025-05-29,9.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,587,28653 Supercito Selecto Galerias Polanco 10-24,CHE587,2025-05-29,4.0,0.0
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,SIN ASIGNAR Chedraui,890,30003 SUPERCITO SELECTO TLAX INSURGENTES CUAU 06-24,CHE890,2025-05-29,26.0,0.0
